1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
------;Straftaten insgesamt;5758;Herford;K;voll.;1,975;1,073;902;17;9;8;93;43;50;110;52;58;178;98;80;195;112;83;1,345;738;607;147;73;74;1,492;811;681
------;Straftaten insgesamt;5762;Höxter;K;voll.;1,384;812;572;15;5;10;106;56;50;121;61;60;132;78;54;132;82;50;894;534;360;105;57;48;999;591;408
------;Straftaten insgesamt;5766;Lippe;K;voll.;2,971;1,603;1,368;46;24;22;242;124;118;288;148;140;344;183;161;293;172;121;1,851;993;858;195;107;88;2,046;1,100;946
------;Straftaten insgesamt;5770;Minden-Lübbecke;K;voll.;2,720;1,506;1,214;21;8;13;174;85;89;195;93;102;282;161;121;239;141;98;1,843;1,014;829;161;97;64;2,004;1,111;893
------;Straftaten insgesamt;5774;Paderborn;K;voll.;3,091;1,796;1,295;23;12;11;143;80;63;166;92;74;308;185;123;329;216;113;2,107;1,211;896;181;92;89;2,288;1,303;985
------;Straftaten insgesamt;5911;Bochum;KfS;voll.;5,546;3,005;2,541;49;32;17;256;149;107;305;181;124;444;249;195;505;262;243;4,000;2,157;1,843;292;156;136;4,292;2,313;1,979
------;Straftaten insgesamt;5913;Dortmund;KfS;voll.;11,551;7,174;4,377;63;38;25;573;327;246;636;365;271;826;471;355;970;588;382;8,559;5,426;3,133;560;324;236;9,119;5,750;3,369
------;Straftaten insgesamt;5914;Hagen;KfS;voll.;2,864;1,639;1,225;27;17;10;195;123;72;222;140;82;253;140;113;259;144;115;1,987;1,133;854;143;82;61;2,130;1,215;915
------;Straftaten insgesamt;5915;Hamm;KfS;voll.;2,462;1,331;1,131;28;19;9;133;76;57;161;95;66;248;112;136;193;109;84;1,736;950;786;124;65;59;1,860;1,015;845
------;Straftaten insgesamt;5916;Herne;KfS;voll.;2,406;1,289;1,117;19;10;9;158;94;64;177;104;73;249;150;99;189;83;106;1,655;885;770;136;67;69;1,791;952;839
------;Straftaten insgesamt;5954;Ennepe-Ruhr-Kreis;K;voll.;3,459;1,950;1,509;25;16;9;240;151;89;265;167;98;318;203;115;288;173;115;2,404;1,308;1,096;184;99;85;2,588;1,407;1,181
------;Straftaten insgesamt;5958;Hochsauerlandkreis;K;voll.;2,852;1,649;1,203;30;14;16;178;89;89;208;103;105;256;147;109;299;184;115;1,923;1,109;814;166;106;60;2,089;1,215;874
------;Straftaten insgesamt;5962;Märkischer Kreis;K;voll.;5,190;2,961;2,229;51;23;28;333;172;161;384;195;189;467;251;216;451;280;171;3,623;2,082;1,541;265;153;112;3,888;2,235;1,653
------;Straftaten insgesamt;5966;Olpe;K;voll.;1,344;801;543;14;6;8;66;41;25;80;47;33;148;110;38;120;78;42;919;520;399;77;46;31;996;566;430
------;Straftaten insgesamt;5970;Siegen-Wittgenstein;K;voll.;3,148;1,878;1,270;17;13;4;163;105;58;180;118;62;295;180;115;285;171;114;2,184;1,276;908;204;133;71;2,388;1,409;979
------;Straftaten insgesamt;5974;Soest;K;voll.;3,327;2,039;1,288;22;11;11;177;102;75;199;113;86;319;198;121;325;214;111;2,274;1,393;881;210;121;89;2,484;1,514;970
------;Straftaten insgesamt;5978;Unna;K;voll.;4,367;2,334;2,033;32;15;17;249;136;113;281;151;130;440;236;204;373;224;149;2,982;1,563;1,419;291;160;131;3,273;1,723;1,550
------;Straftaten insgesamt;6411;Darmstadt;KfS;voll.;1,582;964;618;12;6;6;60;31;29;72;37;35;93;52;41;130;72;58;1,195;748;447;92;55;37;1,287;803;484
------;Straftaten insgesamt;6412;Frankfurt am Main;KfS;voll.;11,837;7,553;4,284;102;59;43;348;192;156;450;251;199;628;390;238;847;503;344;9,294;6,019;3,275;618;390;228;9,912;6,409;3,503
------;Straftaten insgesamt;6413;Offenbach am Main;KfS;voll.;1,304;704;600;14;8;6;65;34;31;79;42;37;77;44;33;92;42;50;986;533;453;70;43;27;1,056;576;480
------;Straftaten insgesamt;6414;Wiesbaden;KfS;voll.;4,014;2,246;1,768;35;17;18;208;128;80;243;145;98;374;190;184;388;253;135;2,813;1,556;1,257;196;102;94;3,009;1,658;1,351
------;Straftaten insgesamt;6431;Bergstraße;LK;voll.;1,551;847;704;8;5;3;83;49;34;91;54;37;116;71;45;135;77;58;1,069;554;515;140;91;49;1,209;645;564
------;Straftaten insgesamt;6432;Darmstadt-Dieburg;LK;voll.;1,707;905;802;22;8;14;124;62;62;146;70;76;159;95;64;126;68;58;1,138;594;544;138;78;60;1,276;672;604
------;Straftaten insgesamt;6433;Groß-Gerau;LK;voll.;1,820;1,009;811;19;13;6;83;38;45;102;51;51;137;85;52;123;65;58;1,342;738;604;116;70;46;1,458;808;650
------;Straftaten insgesamt;6434;Hochtaunuskreis;LK;voll.;1,735;933;802;17;6;11;110;56;54;127;62;65;177;106;71;146;90;56;1,159;598;561;126;77;49;1,285;675;610
------;Straftaten insgesamt;6435;Main-Kinzig-Kreis;LK;voll.;2,995;1,622;1,373;31;15;16;210;99;111;241;114;127;254;141;113;233;148;85;2,051;1,095;956;216;124;92;2,267;1,219;1,048
------;Straftaten insgesamt;6436;Main-Taunus-Kreis;LK;voll.;1,942;1,086;856;33;11;22;136;72;64;169;83;86;182;104;78;152;94;58;1,305;718;587;134;87;47;1,439;805;634
------;Straftaten insgesamt;6437;Odenwaldkreis;LK;voll.;619;358;261;9;6;3;23;11;12;32;17;15;51;35;16;56;38;18;426;238;188;54;30;24;480;268;212
------;Straftaten insgesamt;6438;Offenbach;LK;voll.;2,265;1,241;1,024;30;15;15;134;67;67;164;82;82;241;137;104;175;118;57;1,531;807;724;154;97;57;1,685;904;781
------;Straftaten insgesamt;6439;Rheingau-Taunus-Kreis;LK;voll.;1,094;630;464;13;5;8;74;28;46;87;33;54;118;81;37;115;62;53;710;412;298;64;42;22;774;454;320
------;Straftaten insgesamt;6440;Wetteraukreis;LK;voll.;1,998;1,101;897;13;3;10;149;48;101;162;51;111;169;91;78;161;98;63;1,349;760;589;157;101;56;1,506;861;645
------;Straftaten insgesamt;6531;Gießen;LK;voll.;2,436;1,437;999;34;17;17;164;86;78;198;103;95;176;90;86;218;123;95;1,700;1,033;667;144;88;56;1,844;1,121;723
------;Straftaten insgesamt;6532;Lahn-Dill-Kreis;LK;voll.;1,616;864;752;15;8;7;130;87;43;145;95;50;142;85;57;153;84;69;1,072;533;539;104;67;37;1,176;600;576
------;Straftaten insgesamt;6533;Limburg-Weilburg;LK;voll.;1,222;702;520;13;7;6;82;42;40;95;49;46;119;74;45;110;77;33;826;461;365;72;41;31;898;502;396
------;Straftaten insgesamt;6534;Marburg-Biedenkopf;LK;voll.;2,083;1,215;868;34;21;13;138;69;69;172;90;82;170;104;66;212;124;88;1,424;840;584;105;57;48;1,529;897;632
------;Straftaten insgesamt;6535;Vogelsbergkreis;LK;voll.;928;520;408;14;11;3;56;21;35;70;32;38;97;49;48;80;50;30;599;337;262;82;52;30;681;389;292
------;Straftaten insgesamt;6611;Kassel;KfS;voll.;3,030;1,789;1,241;36;25;11;130;58;72;166;83;83;167;79;88;261;162;99;2,283;1,365;918;153;100;53;2,436;1,465;971
